employee_id,product_id,product_name,price,discount,stock,sold_quantity,rating,reviews,supplier,purchase_cost,profit,expiry_date,manufacturing_date,customer_gender,customer_type,payment_method,transaction_id,order_status,delivery_time,return_status,feedback,desercion_de_clientes
570,P1021,Item_A,4563,5,192,70,4.4,181,Supplier_A,3228,1106.8500000000004,2025-01-22,2024-01-22,Female,VIP,Cash,T50021,Completed,10,Returned,Average,posible abandono
250,P1022,Item_C,919,40,161,58,3.2,149,Supplier_B,3846,-3294.6,2025-01-23,2024-01-23,Female,Regular,Cash,T50022,Pending,9,Returned,Bad,posible abandono
343,P1023,Item_D,1128,0,178,38,2.3,313,Supplier_B,3744,-2616.0,2025-01-24,2024-01-24,Female,Regular,Mobile Payment,T50023,Cancelled,8,Returned,Good,posible abandono
699,P1024,Item_B,4593,40,55,37,3.6,444,Supplier_C,1301,1454.8000000000002,2025-01-25,2024-01-25,Male,New,Mobile Payment,T50024,Cancelled,11,Not Returned,Bad,posible abandono
557,P1025,Item_C,1648,26,169,87,1.5,168,Supplier_C,919,300.52,2025-01-26,2024-01-26,Female,VIP,Mobile Payment,T50025,Cancelled,12,Not Returned,Bad,posible abandono
801,P1026,Item_A,1936,18,198,69,1.8,217,Supplier_B,63,1524.52,2025-01-27,2024-01-27,Male,VIP,Credit Card,T50026,Cancelled,5,Not Returned,Bad,posible abandono
257,P1027,Item_C,3446,45,176,19,1.9,89,Supplier_A,2749,-853.7,2025-01-28,2024-01-28,Male,VIP,Credit Card,T50027,Completed,5,Not Returned,Bad,cliente
853,P1028,Item_A,687,5,8,50,3.2,342,Supplier_C,1484,-831.35,2025-01-29,2024-01-29,Male,VIP,Credit Card,T50028,Pending,8,Returned,Good,posible abandono
163,P1029,Item_B,3664,35,81,6,3.3,433,Supplier_A,2466,-84.40000000000009,2025-01-30,2024-01-30,Female,New,Mobile Payment,T50029,Cancelled,5,Not Returned,Good,posible abandono
496,P1030,Item_C,3163,1,75,69,2.8,163,Supplier_A,2192,939.37,2025-01-31,2024-01-31,Female,Regular,Cash,T50030,Completed,5,Returned,Bad,posible abandono
120,P1031,Item_C,1120,28,104,49,1.1,203,Supplier_A,257,549.4,2025-02-01,2024-02-01,Male,VIP,Credit Card,T50031,Cancelled,7,Not Returned,Bad,posible abandono
797,P1032,Item_D,1501,33,134,94,2.0,446,Supplier_B,3680,-2674.33,2025-02-02,2024-02-02,Female,New,Credit Card,T50032,Cancelled,8,Not Returned,Good,posible abandono
163,P1033,Item_D,2483,34,168,29,2.0,360,Supplier_B,2376,-737.22,2025-02-03,2024-02-03,Female,VIP,Credit Card,T50033,Pending,14,Returned,Good,posible abandono
989,P1034,Item_C,900,2,196,85,2.1,31,Supplier_C,639,243.0,2025-02-04,2024-02-04,Male,VIP,Mobile Payment,T50034,Completed,10,Returned,Good,posible abandono
576,P1035,Item_A,4131,36,85,76,4.0,103,Supplier_B,1549,1094.84,2025-02-05,2024-02-05,Female,New,Mobile Payment,T50035,Cancelled,14,Returned,Bad,posible abandono
253,P1036,Item_B,3330,25,34,26,2.6,204,Supplier_A,495,2002.5,2025-02-06,2024-02-06,Male,Regular,Cash,T50036,Pending,13,Not Returned,Good,posible abandono
137,P1037,Item_A,951,47,140,30,4.5,436,Supplier_B,1175,-670.97,2025-02-07,2024-02-07,Male,New,Cash,T50037,Cancelled,13,Not Returned,Good,posible abandono
123,P1038,Item_D,3321,29,54,57,3.8,425,Supplier_C,1141,1216.91,2025-02-08,2024-02-08,Male,VIP,Mobile Payment,T50038,Pending,2,Returned,Bad,posible abandono
670,P1039,Item_A,96,20,55,82,4.3,492,Supplier_C,3603,-3526.2,2025-02-09,2024-02-09,Female,New,Cash,T50039,Cancelled,6,Not Returned,Good,posible abandono
986,P1040,Item_C,4250,2,154,4,3.1,440,Supplier_A,1214,2951.0,2025-02-10,2024-02-10,Female,Regular,Credit Card,T50040,Pending,6,Returned,Bad,posible abandono
642,P1041,Item_C,3012,40,77,90,3.5,412,Supplier_A,3728,-1920.8,2025-02-11,2024-02-11,Male,Regular,Credit Card,T50041,Cancelled,8,Returned,Good,posible abandono
155,P1042,Item_B,874,43,76,64,3.4,333,Supplier_A,1592,-1093.82,2025-02-12,2024-02-12,Female,VIP,Cash,T50042,Completed,7,Not Returned,Good,cliente
562,P1043,Item_B,3512,47,199,31,1.7,365,Supplier_A,3571,-1709.64,2025-02-13,2024-02-13,Female,VIP,Mobile Payment,T50043,Cancelled,2,Not Returned,Average,posible abandono
507,P1044,Item_B,2693,44,183,83,2.9,257,Supplier_A,1897,-388.9200000000001,2025-02-14,2024-02-14,Female,New,Cash,T50044,Completed,9,Not Returned,Average,posible cliente
791,P1045,Item_D,548,3,138,85,3.2,111,Supplier_A,2715,-2183.44,2025-02-15,2024-02-15,Male,New,Credit Card,T50045,Completed,11,Not Returned,Average,posible cliente
689,P1046,Item_C,1867,38,62,95,1.6,491,Supplier_A,1259,-101.46000000000004,2025-02-16,2024-02-16,Female,VIP,Cash,T50046,Cancelled,9,Not Returned,Bad,posible abandono
785,P1047,Item_C,3709,14,18,67,2.2,155,Supplier_B,2255,934.7399999999998,2025-02-17,2024-02-17,Male,Regular,Cash,T50047,Pending,2,Returned,Average,posible abandono
648,P1048,Item_D,2873,29,89,4,4.5,238,Supplier_C,3095,-1055.17,2025-02-18,2024-02-18,Male,Regular,Credit Card,T50048,Pending,4,Not Returned,Bad,posible abandono
433,P1049,Item_C,4954,40,173,36,2.2,421,Supplier_B,950,2022.4,2025-02-19,2024-02-19,Female,VIP,Cash,T50049,Cancelled,9,Returned,Good,posible abandono
384,P1050,Item_D,4461,20,11,29,4.1,87,Supplier_C,3294,274.8000000000002,2025-02-20,2024-02-20,Female,VIP,Credit Card,T50050,Pending,9,Returned,Bad,posible abandono
266,P1051,Item_B,418,17,175,44,2.3,97,Supplier_B,3870,-3523.06,2025-02-21,2024-02-21,Female,New,Mobile Payment,T50051,Completed,1,Returned,Good,posible abandono
432,P1052,Item_C,2001,3,53,54,3.9,483,Supplier_A,1156,784.97,2025-02-22,2024-02-22,Female,New,Cash,T50052,Cancelled,12,Not Returned,Good,posible abandono
985,P1053,Item_B,3724,1,151,40,3.6,89,Supplier_B,3816,-129.23999999999978,2025-02-23,2024-02-23,Male,VIP,Credit Card,T50053,Pending,12,Not Returned,Good,posible abandono
858,P1054,Item_A,3860,10,155,6,1.9,57,Supplier_B,369,3105.0,2025-02-24,2024-02-24,Male,New,Cash,T50054,Pending,5,Returned,Good,posible abandono
431,P1055,Item_A,1653,24,122,45,3.5,167,Supplier_B,895,361.28,2025-02-25,2024-02-25,Male,Regular,Mobile Payment,T50055,Pending,13,Not Returned,Bad,posible abandono
615,P1056,Item_B,3363,6,35,62,1.3,333,Supplier_C,3277,-115.7800000000002,2025-02-26,2024-02-26,Male,VIP,Credit Card,T50056,Completed,7,Returned,Average,posible abandono
622,P1057,Item_A,786,34,128,10,2.7,0,Supplier_B,2682,-2163.24,2025-02-27,2024-02-27,Male,Regular,Cash,T50057,Completed,9,Not Returned,Good,cliente
937,P1058,Item_A,3007,36,7,14,2.9,332,Supplier_B,3338,-1413.52,2025-02-28,2024-02-28,Female,Regular,Cash,T50058,Completed,10,Not Returned,Average,abandono
498,P1059,Item_C,4330,47,37,40,1.6,485,Supplier_C,1946,348.9000000000001,2025-03-01,2024-02-29,Female,Regular,Mobile Payment,T50059,Completed,10,Returned,Average,posible abandono
665,P1060,Item_C,829,14,57,89,1.8,283,Supplier_C,709,3.940000000000055,2025-03-02,2024-03-01,Male,VIP,Mobile Payment,T50060,Cancelled,10,Not Returned,Bad,posible abandono
475,P1061,Item_A,2082,34,77,90,3.5,139,Supplier_B,468,906.12,2025-03-03,2024-03-02,Female,New,Mobile Payment,T50061,Pending,2,Returned,Bad,posible abandono
688,P1062,Item_C,4330,6,50,17,1.7,231,Supplier_C,3299,771.1999999999998,2025-03-04,2024-03-03,Male,New,Credit Card,T50062,Completed,13,Returned,Good,posible abandono
589,P1063,Item_A,504,42,129,29,1.4,215,Supplier_A,1993,-1700.68,2025-03-05,2024-03-04,Female,Regular,Cash,T50063,Pending,9,Not Returned,Bad,posible abandono
710,P1064,Item_A,3978,24,185,87,1.3,118,Supplier_C,904,2119.28,2025-03-06,2024-03-05,Female,Regular,Mobile Payment,T50064,Pending,2,Not Returned,Average,posible abandono
794,P1065,Item_B,1088,35,111,47,3.4,265,Supplier_C,3485,-2777.8,2025-03-07,2024-03-06,Female,Regular,Cash,T50065,Pending,5,Returned,Bad,posible abandono
485,P1066,Item_C,2855,26,8,29,2.7,149,Supplier_A,2556,-443.3000000000002,2025-03-08,2024-03-07,Male,Regular,Credit Card,T50066,Completed,10,Returned,Good,posible abandono
507,P1067,Item_B,1783,32,106,16,1.3,44,Supplier_B,2313,-1100.56,2025-03-09,2024-03-08,Male,VIP,Cash,T50067,Completed,6,Returned,Good,posible abandono
787,P1068,Item_D,4591,26,41,50,3.1,58,Supplier_A,527,2870.34,2025-03-10,2024-03-09,Male,VIP,Credit Card,T50068,Completed,11,Returned,Average,posible abandono
647,P1069,Item_B,3529,12,81,41,4.9,64,Supplier_A,3957,-851.48,2025-03-11,2024-03-10,Female,Regular,Credit Card,T50069,Cancelled,12,Returned,Bad,posible abandono
706,P1070,Item_B,4838,23,1,58,2.8,254,Supplier_B,1962,1763.2600000000002,2025-03-12,2024-03-11,Female,VIP,Credit Card,T50070,Completed,2,Returned,Average,posible abandono
535,P1071,Item_C,1278,39,46,5,4.7,370,Supplier_A,2719,-1939.42,2025-03-13,2024-03-12,Male,New,Credit Card,T50071,Completed,10,Returned,Bad,posible abandono
356,P1072,Item_C,1272,16,170,65,2.0,216,Supplier_C,1384,-315.52,2025-03-14,2024-03-13,Male,VIP,Credit Card,T50072,Completed,10,Not Returned,Good,cliente
947,P1073,Item_A,1595,4,80,77,2.8,276,Supplier_C,2044,-512.8,2025-03-15,2024-03-14,Male,Regular,Mobile Payment,T50073,Completed,8,Returned,Bad,posible abandono
316,P1074,Item_C,1626,39,93,15,4.0,424,Supplier_C,3528,-2536.14,2025-03-16,2024-03-15,Male,Regular,Mobile Payment,T50074,Pending,13,Returned,Good,posible abandono
621,P1075,Item_D,2838,33,77,95,2.3,31,Supplier_A,1884,17.460000000000036,2025-03-17,2024-03-16,Female,New,Cash,T50075,Cancelled,7,Not Returned,Average,posible abandono
337,P1076,Item_D,195,8,182,48,5.0,251,Supplier_A,3917,-3737.6,2025-03-18,2024-03-17,Female,Regular,Mobile Payment,T50076,Completed,10,Returned,Average,posible abandono
738,P1077,Item_A,3462,3,119,50,4.6,306,Supplier_B,2024,1334.14,2025-03-19,2024-03-18,Male,New,Mobile Payment,T50077,Pending,6,Returned,Average,posible abandono
834,P1078,Item_A,2852,44,137,43,1.4,57,Supplier_C,3491,-1893.88,2025-03-20,2024-03-19,Male,VIP,Credit Card,T50078,Completed,3,Not Returned,Good,cliente
676,P1079,Item_C,4245,0,19,30,4.7,62,Supplier_B,3792,453.0,2025-03-21,2024-03-20,Male,Regular,Credit Card,T50079,Pending,12,Not Returned,Average,posible abandono
452,P1080,Item_B,1970,48,131,31,1.4,179,Supplier_B,3376,-2351.6,2025-03-22,2024-03-21,Female,VIP,Cash,T50080,Pending,12,Returned,Average,posible abandono
833,P1081,Item_D,4079,38,53,61,3.5,364,Supplier_A,2760,-231.02,2025-03-23,2024-03-22,Male,New,Cash,T50081,Cancelled,11,Returned,Good,posible abandono
500,P1082,Item_D,4044,17,159,78,1.0,481,Supplier_A,2506,850.52,2025-03-24,2024-03-23,Male,New,Mobile Payment,T50082,Pending,3,Returned,Bad,posible abandono
949,P1083,Item_A,4155,44,134,90,3.0,293,Supplier_C,1070,1256.8000000000002,2025-03-25,2024-03-24,Female,Regular,Mobile Payment,T50083,Completed,2,Not Returned,Bad,cliente
968,P1084,Item_A,346,0,50,81,2.7,26,Supplier_B,1349,-1003.0,2025-03-26,2024-03-25,Female,Regular,Cash,T50084,Pending,12,Not Returned,Average,posible abandono
944,P1085,Item_C,865,35,51,77,3.0,435,Supplier_C,2049,-1486.75,2025-03-27,2024-03-26,Female,New,Cash,T50085,Cancelled,8,Not Returned,Bad,posible abandono
390,P1086,Item_C,1786,29,28,36,1.4,476,Supplier_B,2263,-994.94,2025-03-28,2024-03-27,Female,Regular,Mobile Payment,T50086,Pending,6,Not Returned,Bad,posible abandono
722,P1087,Item_A,3602,6,191,48,1.2,405,Supplier_C,2877,508.8800000000001,2025-03-29,2024-03-28,Male,New,Cash,T50087,Pending,9,Not Returned,Average,posible abandono
868,P1088,Item_C,1301,29,50,32,2.1,349,Supplier_C,2237,-1313.29,2025-03-30,2024-03-29,Male,VIP,Mobile Payment,T50088,Pending,3,Returned,Average,posible abandono
128,P1089,Item_C,2834,0,164,68,4.4,103,Supplier_A,1327,1507.0,2025-03-31,2024-03-30,Female,New,Cash,T50089,Completed,1,Returned,Average,posible abandono
893,P1090,Item_D,1304,1,62,92,1.1,378,Supplier_C,2711,-1420.04,2025-04-01,2024-03-31,Male,Regular,Cash,T50090,Completed,5,Not Returned,Bad,cliente
532,P1091,Item_A,1527,25,11,72,3.1,354,Supplier_B,2002,-856.75,2025-04-02,2024-04-01,Female,VIP,Mobile Payment,T50091,Pending,13,Not Returned,Average,posible abandono
523,P1092,Item_B,2738,35,176,36,3.5,424,Supplier_A,764,1015.7,2025-04-03,2024-04-02,Male,New,Cash,T50092,Pending,14,Returned,Bad,posible abandono
666,P1093,Item_D,4096,45,98,69,4.6,465,Supplier_A,1195,1057.8000000000002,2025-04-04,2024-04-03,Female,New,Cash,T50093,Pending,5,Returned,Bad,posible abandono
406,P1094,Item_C,3950,36,89,61,4.1,13,Supplier_A,1925,603.0,2025-04-05,2024-04-04,Male,Regular,Credit Card,T50094,Completed,11,Returned,Good,posible abandono
500,P1095,Item_C,860,49,93,75,3.6,323,Supplier_A,1419,-980.4,2025-04-06,2024-04-05,Male,New,Cash,T50095,Pending,3,Returned,Good,posible abandono
482,P1096,Item_D,4439,46,150,33,3.0,331,Supplier_B,378,2019.06,2025-04-07,2024-04-06,Male,VIP,Mobile Payment,T50096,Cancelled,6,Not Returned,Average,posible abandono
327,P1097,Item_C,944,31,191,45,2.3,422,Supplier_B,3879,-3227.64,2025-04-08,2024-04-07,Female,VIP,Credit Card,T50097,Cancelled,9,Not Returned,Average,posible abandono
161,P1098,Item_C,2461,31,62,33,2.9,481,Supplier_A,3626,-1927.91,2025-04-09,2024-04-08,Female,Regular,Credit Card,T50098,Completed,14,Not Returned,Good,cliente
756,P1099,Item_B,3363,7,10,3,2.4,481,Supplier_C,3799,-671.4099999999999,2025-04-10,2024-04-09,Male,VIP,Cash,T50099,Completed,3,Not Returned,Average,abandono
970,P1100,Item_D,4375,5,6,0,1.3,455,Supplier_C,3420,736.25,2025-04-11,2024-04-10,Female,VIP,Mobile Payment,T50100,Completed,8,Not Returned,Average,abandono
916,P1101,Item_A,1381,7,12,85,1.5,162,Supplier_C,1399,-114.67000000000009,2025-04-12,2024-04-11,Male,VIP,Mobile Payment,T50101,Completed,1,Not Returned,Bad,cliente
445,P1102,Item_D,2325,20,155,95,2.0,168,Supplier_C,2125,-265.0,2025-04-13,2024-04-12,Female,New,Mobile Payment,T50102,Completed,10,Returned,Average,posible abandono
239,P1103,Item_A,568,35,101,28,3.5,82,Supplier_B,1167,-797.8,2025-04-14,2024-04-13,Female,VIP,Credit Card,T50103,Pending,14,Not Returned,Bad,posible abandono
616,P1104,Item_B,3339,22,26,57,4.2,382,Supplier_C,695,1909.42,2025-04-15,2024-04-14,Male,Regular,Cash,T50104,Pending,9,Returned,Average,posible abandono
335,P1105,Item_B,110,21,153,22,1.2,449,Supplier_A,3952,-3865.1,2025-04-16,2024-04-15,Male,New,Credit Card,T50105,Cancelled,5,Returned,Average,posible abandono
510,P1106,Item_A,1669,41,23,2,2.8,154,Supplier_C,3859,-2874.29,2025-04-17,2024-04-16,Male,Regular,Credit Card,T50106,Cancelled,1,Returned,Good,posible abandono
899,P1107,Item_B,2983,11,69,72,1.1,200,Supplier_A,1923,731.8699999999999,2025-04-18,2024-04-17,Male,Regular,Credit Card,T50107,Cancelled,11,Not Returned,Good,posible abandono
736,P1108,Item_A,1758,1,49,16,2.3,98,Supplier_A,1529,211.42000000000007,2025-04-19,2024-04-18,Male,VIP,Mobile Payment,T50108,Completed,8,Not Returned,Good,cliente
400,P1109,Item_D,2376,31,175,40,4.9,307,Supplier_A,2336,-696.56,2025-04-20,2024-04-19,Male,VIP,Cash,T50109,Pending,11,Returned,Good,posible abandono
515,P1110,Item_C,2532,44,83,31,1.6,431,Supplier_A,2600,-1182.08,2025-04-21,2024-04-20,Male,VIP,Credit Card,T50110,Completed,10,Returned,Good,posible abandono
507,P1111,Item_C,3340,37,123,48,1.5,476,Supplier_B,1129,975.1999999999998,2025-04-22,2024-04-21,Female,Regular,Mobile Payment,T50111,Cancelled,10,Not Returned,Average,posible abandono
166,P1112,Item_D,4680,30,105,5,3.9,81,Supplier_A,2172,1104.0,2025-04-23,2024-04-22,Male,Regular,Cash,T50112,Cancelled,14,Returned,Average,posible abandono
951,P1113,Item_C,4330,5,12,48,4.5,320,Supplier_A,1588,2525.5,2025-04-24,2024-04-23,Male,New,Mobile Payment,T50113,Cancelled,12,Not Returned,Bad,posible abandono
173,P1114,Item_B,2406,8,157,74,3.4,425,Supplier_C,1839,374.52,2025-04-25,2024-04-24,Male,VIP,Mobile Payment,T50114,Completed,8,Returned,Good,posible abandono
988,P1115,Item_D,170,32,104,58,4.1,467,Supplier_B,3777,-3661.4,2025-04-26,2024-04-25,Male,Regular,Credit Card,T50115,Cancelled,1,Returned,Average,posible abandono
468,P1116,Item_A,960,7,155,83,2.7,281,Supplier_B,1980,-1087.2,2025-04-27,2024-04-26,Female,New,Mobile Payment,T50116,Pending,1,Not Returned,Average,posible abandono
800,P1117,Item_D,714,31,162,92,3.5,191,Supplier_A,1430,-937.34,2025-04-28,2024-04-27,Male,Regular,Mobile Payment,T50117,Pending,14,Not Returned,Good,posible abandono
950,P1118,Item_A,3657,3,153,62,1.1,242,Supplier_C,3038,509.29,2025-04-29,2024-04-28,Male,New,Mobile Payment,T50118,Pending,10,Not Returned,Average,posible abandono
994,P1119,Item_D,1156,29,26,22,1.7,344,Supplier_B,81,739.76,2025-04-30,2024-04-29,Male,New,Mobile Payment,T50119,Pending,11,Not Returned,Bad,posible abandono
753,P1120,Item_C,1801,8,95,35,2.1,246,Supplier_C,355,1301.92,2025-05-01,2024-04-30,Male,VIP,Cash,T50120,Completed,11,Returned,Bad,posible abandono
556,P1121,Item_C,2929,0,186,21,1.8,186,Supplier_A,667,2262.0,2025-05-02,2024-05-01,Male,New,Credit Card,T50121,Pending,11,Returned,Average,posible abandono
484,P1122,Item_B,2893,14,184,73,2.3,231,Supplier_B,1313,1174.98,2025-05-03,2024-05-02,Female,VIP,Cash,T50122,Cancelled,13,Returned,Good,posible abandono
612,P1123,Item_C,4174,31,153,19,3.0,295,Supplier_A,3999,-1118.94,2025-05-04,2024-05-03,Male,Regular,Mobile Payment,T50123,Cancelled,12,Returned,Good,posible abandono
981,P1124,Item_A,260,2,126,72,2.4,121,Supplier_C,2038,-1783.2,2025-05-05,2024-05-04,Female,VIP,Mobile Payment,T50124,Cancelled,2,Returned,Average,posible abandono
116,P1125,Item_C,1661,5,132,45,3.6,125,Supplier_C,2018,-440.05,2025-05-06,2024-05-05,Male,New,Credit Card,T50125,Cancelled,9,Returned,Average,posible abandono
318,P1126,Item_B,693,47,151,92,4.5,324,Supplier_C,1919,-1551.71,2025-05-07,2024-05-06,Male,New,Cash,T50126,Cancelled,14,Not Returned,Good,posible abandono
530,P1127,Item_D,2586,14,101,53,1.8,279,Supplier_C,68,2155.96,2025-05-08,2024-05-07,Male,Regular,Credit Card,T50127,Completed,3,Not Returned,Good,cliente
962,P1128,Item_A,4051,17,5,97,2.3,417,Supplier_A,3366,-3.6700000000000728,2025-05-09,2024-05-08,Male,Regular,Cash,T50128,Cancelled,7,Returned,Bad,posible abandono
326,P1129,Item_B,56,13,186,58,3.5,426,Supplier_B,1489,-1440.28,2025-05-10,2024-05-09,Female,New,Mobile Payment,T50129,Pending,12,Not Returned,Bad,posible abandono
729,P1130,Item_A,2447,17,143,65,1.6,473,Supplier_C,933,1098.01,2025-05-11,2024-05-10,Female,Regular,Cash,T50130,Pending,4,Returned,Good,posible abandono
913,P1131,Item_B,4761,10,179,43,4.0,286,Supplier_B,117,4167.9,2025-05-12,2024-05-11,Male,VIP,Mobile Payment,T50131,Cancelled,3,Returned,Bad,posible abandono
496,P1132,Item_B,1924,30,34,18,4.9,143,Supplier_C,2562,-1215.2,2025-05-13,2024-05-12,Male,VIP,Credit Card,T50132,Pending,3,Returned,Good,posible abandono
451,P1133,Item_D,4388,48,154,23,1.4,260,Supplier_B,3805,-1523.2399999999998,2025-05-14,2024-05-13,Female,VIP,Mobile Payment,T50133,Pending,14,Returned,Good,posible abandono
382,P1134,Item_A,3597,1,41,90,2.6,68,Supplier_C,2424,1137.0300000000002,2025-05-15,2024-05-14,Male,New,Cash,T50134,Pending,4,Returned,Bad,posible abandono
657,P1135,Item_B,4636,20,149,61,2.0,134,Supplier_C,1322,2386.8,2025-05-16,2024-05-15,Female,Regular,Credit Card,T50135,Completed,10,Returned,Good,posible abandono
157,P1136,Item_A,648,41,174,46,4.4,124,Supplier_B,3011,-2628.68,2025-05-17,2024-05-16,Female,New,Mobile Payment,T50136,Completed,11,Returned,Average,posible abandono
947,P1137,Item_A,312,43,3,87,3.3,140,Supplier_B,224,-46.16,2025-05-18,2024-05-17,Male,New,Credit Card,T50137,Pending,5,Not Returned,Bad,posible abandono
563,P1138,Item_D,4553,38,57,93,4.4,95,Supplier_C,3596,-773.1400000000003,2025-05-19,2024-05-18,Male,Regular,Cash,T50138,Pending,5,Not Returned,Bad,posible abandono
364,P1139,Item_A,3598,40,88,96,4.4,335,Supplier_A,3239,-1080.1999999999998,2025-05-20,2024-05-19,Male,VIP,Credit Card,T50139,Completed,12,Not Returned,Bad,cliente
321,P1140,Item_A,4032,49,157,40,2.9,71,Supplier_A,697,1359.3199999999997,2025-05-21,2024-05-20,Male,New,Credit Card,T50140,Cancelled,2,Returned,Average,posible abandono
341,P1141,Item_D,1454,16,10,20,2.6,365,Supplier_B,2166,-944.64,2025-05-22,2024-05-21,Male,Regular,Credit Card,T50141,Pending,1,Returned,Good,posible abandono
368,P1142,Item_D,2879,6,10,6,1.4,404,Supplier_C,3408,-701.7399999999998,2025-05-23,2024-05-22,Male,New,Mobile Payment,T50142,Cancelled,8,Not Returned,Good,posible abandono
357,P1143,Item_D,310,46,43,24,3.3,144,Supplier_A,276,-108.6,2025-05-24,2024-05-23,Female,VIP,Credit Card,T50143,Pending,13,Not Returned,Average,posible abandono
957,P1144,Item_B,4635,0,197,66,3.9,382,Supplier_A,3278,1357.0,2025-05-25,2024-05-24,Male,Regular,Mobile Payment,T50144,Pending,13,Not Returned,Average,posible abandono
652,P1145,Item_C,1080,5,12,69,4.5,242,Supplier_C,2252,-1226.0,2025-05-26,2024-05-25,Male,Regular,Credit Card,T50145,Pending,6,Not Returned,Average,posible abandono
551,P1146,Item_A,2093,37,98,32,2.0,430,Supplier_A,3050,-1731.41,2025-05-27,2024-05-26,Male,VIP,Mobile Payment,T50146,Completed,6,Not Returned,Bad,cliente
857,P1147,Item_C,959,13,160,42,2.8,403,Supplier_C,1103,-268.67,2025-05-28,2024-05-27,Female,Regular,Cash,T50147,Cancelled,5,Not Returned,Average,posible abandono
